NN_Predicted_V1,NN_Predicted_V2,NN_Predicted_V3
2424.9438,2424.9346,2424.9333
2427.7395,2427.7322,2427.7275
2430.7048,2430.6995,2430.6921
2434.3516,2434.3494,2434.3394
2439.1404,2439.1433,2439.1309
2429.253,2429.4326,2429.3545
2355.8035,2356.0642,2355.9407
2341.2644,2341.5554,2341.4133
2337.762,2338.071,2337.9194
2329.8132,2330.1162,2329.9636
2327.938,2328.225,2328.0786
2336.065,2336.3562,2336.2131
2399.6938,2400.093,2399.936
2408.2534,2408.4885,2408.391
2425.6511,2425.6182,2425.631
2427.732,2427.7102,2427.724
2432.0024,2431.9968,2432.0103
2430.5515,2430.5486,2430.5625
2431.1028,2431.1052,2431.1184
2431.4944,2431.5,2431.5117
2432.0356,2432.0435,2432.053
2432.8076,2432.8118,2432.8235
2434.8413,2434.8484,2434.8564
2438.2659,2438.2778,2438.2822
2441.1765,2441.1929,2441.1929
2443.0862,2443.104,2443.1003
2445.2659,2445.285,2445.278
2448.8015,2448.8242,2448.8147
2453.3423,2453.3704,2453.3586
2451.9128,2451.9329,2451.9216
2378.2341,2378.1296,2378.144
2360.6821,2360.535,2360.561
2348.1147,2347.9421,2347.9746
2339.2388,2339.0447,2339.083
2363.4753,2363.3335,2363.3572
2377.5125,2377.4033,2377.419
2436.9639,2436.9385,2436.9482
2437.4397,2437.4219,2437.434
2438.945,2438.9343,2438.9495
2440.0942,2440.094,2440.1099
2443.2527,2443.2676,2443.2822
2440.6108,2440.625,2440.6404
2439.6162,2439.6316,2439.6472
2439.4495,2439.4663,2439.481
2439.815,2439.833,2439.846
2439.8306,2439.8499,2439.8628
2439.6897,2439.7075,2439.7173
2441.456,2441.4753,2441.4814
2443.3074,2443.3281,2443.3303
2445.851,2445.8743,2445.8726
2448.7805,2448.8066,2448.8013
2452.2498,2452.2795,2452.2715
2456.8035,2456.839,2456.8286
2455.1091,2455.1428,2455.1301
2376.3018,2376.2112,2376.2231
2354.6355,2354.486,2354.5154
2339.4736,2339.2725,2339.3171
2331.28,2331.0564,2331.1072
2328.307,2328.081,2328.1323
2341.422,2341.2388,2341.278
2431.3164,2431.2805,2431.2937
2434.588,2434.5635,2434.5796
2436.9487,2436.9353,2436.9534
2438.395,2438.3926,2438.4114
2440.7024,2440.7131,2440.7307
2438.2024,2438.2126,2438.2314
2437.0603,2437.0715,2437.0903
2436.6072,2436.6196,2436.6375
2435.7559,2435.7676,2435.7837
2435.1023,2435.1196,2435.1313
2436.0725,2436.09,2436.0984
2439.045,2439.066,2439.0703
2442.501,2442.526,2442.5261
2446.1143,2446.1433,2446.1394
2448.9172,2448.9487,2448.9414
2451.729,2451.7627,2451.7524
2455.8342,2455.8728,2455.8604
2455.3787,2455.4116,2455.3992
2451.8052,2451.8257,2451.815
2378.1558,2378.054,2378.0693
2354.9814,2354.824,2354.856
2328.7146,2328.488,2328.54
2327.07,2326.8457,2326.8972
2338.654,2338.4697,2338.51
2362.6143,2362.4885,2362.5134
2428.3267,2428.297,2428.312
2434.1753,2434.164,2434.1807
2438.1714,2438.1765,2438.193
2442.2954,2442.3174,2442.3325
2439.474,2439.4946,2439.5107
2437.6375,2437.6577,2437.674
2438.0225,2438.0454,2438.0605
2438.234,2438.2578,2438.2712
2438.5825,2438.6138,2438.6196
2440.5002,2440.5337,2440.536
2442.8174,2442.8528,2442.8513
2444.638,2444.674,2444.6685
2447.002,2447.04,2447.0303
2450.1963,2450.2375,2450.2244
2455.9226,2455.9727,2455.9558
2460.9656,2461.0234,2461.004
2457.395,2457.457,2457.4321
2373.8223,2373.8328,2373.8062
2345.5327,2345.605,2345.5496
2326.217,2326.3145,2326.2432
2319.7126,2319.814,2319.7393
2316.847,2316.968,2316.8862
2329.6924,2329.8667,2329.7708
2353.9727,2354.138,2354.054
2418.8384,2418.998,2418.936
2434.671,2434.6692,2434.6802
2438.309,2438.3225,2438.3337
2442.1213,2442.1506,2442.1606
2439.8718,2439.9011,2439.9119
2438.898,2438.9285,2438.9392
2439.1128,2439.1455,2439.155
2439.0198,2439.0527,2439.0605
2437.2854,2437.3262,2437.327
2438.0068,2438.0466,2438.0447
2440.2231,2440.264,2440.2588
2442.1587,2442.1997,2442.1914
2443.7769,2443.8176,2443.8057
2446.191,2446.233,2446.218
2448.9705,2449.014,2448.9968
2453.62,2453.6694,2453.6497
2453.9204,2453.9663,2453.946
2452.326,2452.364,2452.345
2381.9106,2381.8335,2381.838
2362.232,2362.1104,2362.128
2352.2173,2352.0747,2352.098
2363.0266,2362.9124,2362.9265
2439.2637,2439.2664,2439.2627
2434.6477,2434.6453,2434.6458
2434.6548,2434.6577,2434.6614
2439.0972,2439.1172,2439.121
2439.552,2439.5808,2439.5852
2439.979,2440.016,2440.02
2438.2354,2438.2737,2438.2778
2440.031,2440.0767,2440.08
2441.0388,2441.0884,2441.0908
2435.0442,2435.0813,2435.0845
2423.4182,2423.4282,2423.4312
2419.3347,2419.3362,2419.3374
2421.0706,2421.072,2421.0706
2423.3994,2423.4014,2423.3972
2426.4539,2426.4573,2426.45
2428.65,2428.6528,2428.6436
2430.7666,2430.769,2430.7578
2435.279,2435.2856,2435.272
2431.5227,2431.56,2431.5325
2362.9917,2362.9385,2362.932
2352.683,2352.6172,2352.612
2359.375,2359.3638,2359.3384
2314.3787,2314.277,2314.2754
2339.0144,2338.9595,2338.9448
2340.3298,2340.2534,2340.2476
2414.5544,2414.5894,2414.563
2418.771,2418.767,2418.7612
2423.559,2423.5408,2423.548
2427.632,2427.6294,2427.6372
2433.1194,2433.1348,2433.1416
2432.7197,2432.7402,2432.7468
2432.6814,2432.7058,2432.712
2433.5232,2433.5513,2433.5564
2431.8145,2431.84,2431.844
2430.6252,2430.64,2430.6458
2430.6016,2430.6147,2430.618
2433.3655,2433.3816,2433.3813
2437.1414,2437.1616,2437.1577
2440.7617,2440.7861,2440.7788
2444.4377,2444.4663,2444.4556
2449.715,2449.7505,2449.7368
2454.4128,2454.4543,2454.4385
