XGB_Predicted_V1,XGB_Predicted_V2,XGB_Predicted_V3
2446.8,2446.9397,2447.0056
2441.204,2429.7173,2427.0354
2359.594,2360.3113,2354.2605
2355.726,2354.9744,2349.7327
2349.1516,2347.0527,2344.445
2343.1946,2345.8076,2348.079
2336.9824,2340.1047,2335.635
2337.1462,2341.0317,2334.5432
2413.8904,2403.5298,2397.5896
2416.1716,2406.9434,2400.4963
2425.801,2425.2847,2426.8076
2435.292,2436.0598,2436.0583
2433.387,2432.8396,2432.563
2433.3306,2432.4497,2432.8489
2433.2285,2432.1501,2432.6118
2432.9724,2432.1743,2432.3027
2432.7603,2432.0684,2432.074
2432.3645,2431.532,2431.8247
2432.3687,2432.3665,2432.1284
2434.4636,2434.16,2433.431
2446.3616,2446.3904,2446.5127
2446.7568,2446.3318,2446.8223
2446.384,2446.3784,2447.2666
2456.1194,2455.7231,2456.7507
2458.4463,2459.872,2459.3796
2459.8186,2460.1072,2460.3757
2369.3406,2376.2183,2380.8022
2365.0703,2359.1575,2373.0276
2346.0508,2347.68,2364.718
2342.7495,2346.1719,2358.4443
2365.8113,2368.4624,2375.5693
2361.8635,2363.0068,2369.339
2441.0535,2442.8193,2441.1746
2439.141,2440.1287,2441.0107
2438.2283,2438.7834,2441.319
2446.6448,2448.6477,2449.2126
2446.6135,2446.844,2446.6296
2446.7354,2446.491,2447.5032
2446.2012,2445.72,2446.8657
2446.2488,2445.7876,2446.5566
2446.2026,2445.825,2446.552
2446.5115,2446.3083,2446.743
2446.428,2446.7524,2446.9172
2446.6462,2446.8103,2446.972
2446.771,2446.813,2447.0767
2448.0403,2447.3176,2447.4387
2448.679,2447.916,2448.444
2461.0034,2460.397,2460.0688
2462.8198,2463.8752,2462.5557
2462.4644,2462.6233,2463.2961
2372.786,2378.3198,2386.013
2354.538,2352.3113,2372.3176
2344.6792,2348.6946,2363.5898
2338.8643,2343.057,2362.1177
2332.767,2335.1606,2352.1301
2336.209,2337.023,2354.23
2433.3757,2432.3818,2433.2812
2439.7417,2440.3071,2440.4265
2438.0225,2439.2207,2441.2615
2438.9712,2439.7124,2441.2878
2446.8904,2446.7834,2446.9053
2446.647,2446.2297,2447.224
2446.5535,2445.8936,2446.9087
2434.274,2434.6433,2433.8518
2434.028,2433.2175,2434.3003
2433.9036,2433.0789,2433.719
2434.28,2434.041,2434.6875
2434.9785,2435.5981,2434.5693
2446.65,2446.3232,2446.8586
2447.9192,2446.874,2447.4216
2447.979,2447.1494,2447.866
2459.945,2458.908,2459.4907
2460.99,2461.0994,2460.6926
2460.926,2460.972,2462.4011
2461.7336,2461.0276,2461.8306
2373.889,2377.943,2384.0312
2353.0503,2351.6877,2368.9282
2332.623,2337.0244,2351.0605
2334.0083,2333.1128,2350.9893
2336.6133,2336.8938,2352.9934
2356.4568,2356.6726,2364.1387
2428.6958,2428.2607,2429.6558
2437.9553,2438.68,2440.538
2438.9219,2439.696,2442.335
2447.284,2446.858,2447.5051
2446.571,2446.0588,2447.8774
2446.4775,2445.7222,2447.0115
2446.408,2445.7903,2446.7024
2446.362,2445.8276,2446.6978
2446.4048,2446.0608,2446.9026
2446.3213,2446.6077,2447.108
2447.2886,2447.1392,2447.4526
2447.4927,2447.2104,2447.2676
2447.8882,2447.0662,2447.5098
2447.948,2447.3416,2448.2112
2461.5298,2462.0713,2461.6008
2472.9912,2474.7622,2472.7673
2462.6921,2464.1003,2464.0068
2374.5327,2378.5583,2385.5706
2350.49,2351.27,2352.2007
2337.5947,2338.8328,2336.0261
2333.2402,2336.2434,2330.8044
2331.6858,2330.821,2328.47
2332.4329,2335.0498,2331.2493
2339.8562,2338.694,2336.97
2420.011,2409.0835,2408.2346
2438.228,2439.0022,2440.8691
2439.1924,2439.2068,2442.0042
2447.5566,2447.1802,2447.8362
2446.8438,2446.4834,2448.2395
2446.7502,2445.996,2447.3425
2446.377,2446.0642,2447.0334
2446.331,2446.1016,2446.786
2445.5508,2445.6685,2445.3481
2445.8013,2446.1262,2445.6006
2446.0195,2446.113,2445.6243
2446.1443,2446.2183,2445.4702
2446.5396,2446.332,2445.6292
2446.5996,2446.71,2446.2046
2459.0874,2458.6865,2457.721
2459.0166,2459.8284,2458.9893
2459.956,2460.9485,2461.7717
2459.6775,2459.8193,2461.063
2372.3418,2375.9478,2384.4338
2365.0417,2361.8767,2377.1406
2347.0574,2346.5203,2367.765
2366.8325,2369.235,2380.3455
2444.9385,2448.312,2447.4194
2440.6545,2443.6948,2440.9934
2439.3306,2440.9912,2440.354
2439.3247,2440.962,2442.2493
2446.9985,2447.83,2448.7
2446.3904,2446.5088,2445.8433
2446.0222,2445.8809,2446.3599
2446.3982,2445.7898,2445.73
2446.093,2445.9163,2445.6511
2432.6758,2432.9377,2432.5432
2419.1084,2419.3992,2418.7744
2417.9275,2419.195,2418.3486
2418.01,2419.4565,2418.2876
2418.0654,2419.2463,2418.8674
2419.3394,2420.3293,2420.3115
2419.5881,2421.1038,2420.7559
2432.9712,2433.434,2432.283
2437.5366,2436.1235,2437.0483
2439.3518,2439.954,2439.5676
2366.2905,2367.731,2375.1467
2358.8147,2360.4854,2366.9106
2359.653,2359.2842,2359.9692
2319.4502,2319.6602,2321.3845
2341.9854,2342.261,2342.5415
2340.643,2344.0017,2351.0986
2408.3728,2409.266,2409.5293
2426.3882,2426.0078,2423.5388
2424.904,2425.3738,2426.1191
2435.1768,2434.9727,2435.8672
2431.9624,2432.499,2431.353
2432.219,2432.0479,2431.9485
2432.325,2431.6738,2431.64
2432.1538,2432.031,2431.76
2431.7556,2431.7087,2431.4011
2431.655,2431.289,2431.1484
2432.1406,2431.8347,2431.6816
2432.3225,2432.2751,2431.8015
2433.0999,2433.1592,2432.4731
2434.133,2435.216,2434.0066
2446.555,2446.9927,2446.2812
2457.6228,2457.6987,2457.0564
